year,green,digital
2005,0.0036611789939123168,0.00016670834413865608
2006,0.005001796780143093,0.0010023627960325172
2007,0.004873881741908777,0.0001320393479174439
2011,0.004678868595272917,0.0008523333139052919
2012,0.0028550239229810964,0.0011429878944660956
2013,0.003525563964038824,0.0005044136298627622
2014,0.007128437853443442,0.0005798782418216589
2015,0.005348559728595695,0.0008934155869882715
2016,0.005925943267547168,0.001484781267579224
2017,0.005916010155371681,0.0011860052783760735
2018,0.006296529102689222,0.0014345146628691266
2019,0.006948730187404141,0.001844073875720925
2020,0.00808575256338747,0.0028374563017869022
2021,0.006926016250509981,0.003871597028314107
2022,0.0069838104913299585,0.002799379744135106
2023,0.007132398601780696,0.002943033446503786
2024,0.007261756570688184,0.00242644947682882
