year,green,digital
2007,0.005316666159440619,0.0
2008,0.008000823243524262,0.0003917727768033152
2009,0.0029479911853216834,0.0
2010,0.003950232274781337,0.0
2011,0.006373507872092201,0.0003652968077152075
2012,0.008214180161160177,0.0
2013,0.009924845354415564,0.0006432936857417202
2014,0.012623094371295085,0.0008858704255697505
2015,0.008787402766804238,0.0014699399971488411
2016,0.011368064828173196,0.002790817490702971
2017,0.013626251711765056,0.0017768757054830724
2018,0.016757638520303972,0.002736603760319111
2019,0.011263192278710648,0.00392202602181787
2020,0.00834303796491425,0.003948443174106643
2021,0.012997560699239697,0.0032080687458724087
2022,0.012637659418452392,0.004230323582479138
2023,0.009865255938109972,0.004615900051966048
2024,0.012252745183950347,0.004022246047434833
