year,green,digital
2005,0.004041498158999996,0.00026994196411733067
2006,0.004571161574536028,0.0
2007,0.007486665984920395,0.0
2008,0.008394129252821618,0.00022180326141716292
2009,0.005110743662559331,0.00028461648121542803
2010,0.007195310939496683,0.0
2011,0.008401334317589167,0.0004961548104759053
2012,0.006756782462879687,0.0002824459840836118
2013,0.011986695193227538,0.0008819638966530552
2014,0.012464750619986973,0.0005699629678378127
2015,0.010801447886654882,0.0020524856934193317
2016,0.01438873745209967,0.0024533869028267414
2017,0.013446563315744146,0.0026451154290892294
2018,0.014719867728039265,0.0025031302181184748
2019,0.011648513128464022,0.0021774641156504767
2020,0.01234414248127819,0.0024810488261066714
2021,0.011406438873491714,0.0030730573143473243
2022,0.0131580845775112,0.0031737662186697383
2023,0.015835806502526042,0.0035178515326729017
2024,0.009502586877369412,0.0019638104221222316
