year,green,digital
2005,0.007220247973487097,0.0
2006,0.006358402924945413,0.0
2007,0.009470057027066563,0.0003068896755710468
2008,0.0068939376826920385,0.0
2009,0.006166514915663958,0.0
2010,0.006677821142605448,0.00027913468429662056
2011,0.008056657623979202,0.00021860312689519508
2012,0.008133799926770185,0.00022683452518731056
2013,0.007724255255080704,0.0002871500378667943
2014,0.014650826301719409,0.0
2015,0.012991882484881633,0.002177069074678732
2016,0.014478606366094321,0.0037105793965355534
2017,0.011830457398987538,0.003733247166368057
2018,0.009194863152691087,0.005001984892655198
2019,0.007021514593939716,0.005901380060690175
2020,0.01092907053219023,0.0062598013485067345
2021,0.010186845306992997,0.003633889985662397
2022,0.006756782462879687,0.003691176138043164
2023,0.008422875654348462,0.0035883943518332
2024,0.007899749136680482,0.0024108845843104996
